time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1781598676.56615043,0.00346853,14999,0.00000042,0.00000000,0,0.00000000,1046,1046,0,0.00185041
1781598676.66608071,0.00329956,15095,0.00000658,0.00000000,0,0.00000000,1046,1048,3,0.00075826
1781598676.76590419,0.00303500,15200,0.00000040,0.00000000,0,0.00000000,1048,1048,0,0.00196973
1781598676.86614776,0.00345413,15081,0.00000242,0.00000000,0,0.00000000,1048,1049,1,0.00134506
1781598676.96608520,0.00346050,15065,0.00000559,0.00000000,0,0.00000000,1049,1050,2,0.00045715
1781598677.06609941,0.00365419,15244,0.00001386,0.00000000,0,0.00000000,1050,1051,4,0.00066135
1781598677.16589093,0.00352571,15212,0.00001548,0.00000000,0,0.00000000,1051,1058,7,0.00090285
1781598677.26606846,0.00308368,15153,0.00000944,0.00000000,0,0.00000000,1058,1062,4,0.00066638
1781598677.36616397,0.00354899,15164,0.00001191,0.00000000,0,0.00000000,1062,1064,3,0.00059677
1781598677.46614051,0.00356241,15187,0.00000722,0.00000000,0,0.00000000,1064,1066,2,0.00095310
1781598677.56609726,0.00303561,15038,0.00001646,0.00000000,0,0.00000000,1066,1062,3,0.00128820
1781598677.66615701,0.00324129,15102,0.00000993,0.00000000,0,0.00000000,1062,1066,4,0.00054724
1781598677.76607609,0.00333529,15343,0.00000673,0.00000000,0,0.00000000,1066,1069,3,0.00066421
1781598677.86620474,0.00327619,15133,0.00000757,0.00000000,0,0.00000000,1069,1069,1,0.00041988
1781598677.96615338,0.00410777,15010,0.00001448,0.00000000,0,0.00000000,1069,1070,5,0.00049212
1781598678.06607246,0.00377186,15208,0.00000688,0.00000000,0,0.00000000,1070,1072,2,0.00053675
1781598678.16600299,0.00310933,15180,0.00000523,0.00000000,0,0.00000000,1072,1073,2,0.00045631
1781598678.26605129,0.00371593,15057,0.00000740,0.00000000,0,0.00000000,1073,1075,2,0.00043153
1781598678.36602426,0.00362952,15179,0.00000535,0.00000000,0,0.00000000,1075,1076,1,0.00043536
1781598678.46614051,0.00379841,15082,0.00000041,0.00000000,0,0.00000000,1076,1076,0,0.00067849
1781598678.56603241,0.00519262,15074,0.00000649,0.00000000,0,0.00000000,1076,1078,2,0.00147243
1781598678.66607308,0.00369965,15080,0.00000725,0.00000000,0,0.00000000,1078,1080,2,0.00076769
1781598678.76590919,0.00460710,15321,0.00000702,0.00000000,0,0.00000000,1080,1081,2,0.00099553
1781598678.86613035,0.00372937,15155,0.00001702,0.00000000,0,0.00000000,1081,1078,3,0.00091954
1781598678.96601653,0.00315879,15099,0.00000572,0.00000000,0,0.00000000,1078,1079,1,0.00078515
1781598679.06618285,0.00352878,15097,0.00000929,0.00000000,0,0.00000000,1079,1083,4,0.00042713
1781598679.16606140,0.00352745,15169,0.00000043,0.00000000,0,0.00000000,1083,1083,0,0.00054284
1781598679.26602674,0.00351880,15162,0.00001129,0.00000000,0,0.00000000,1083,1087,4,0.00072179
1781598679.36613011,0.00493248,15046,0.00001022,0.00000000,0,0.00000000,1087,1088,1,0.00076422
1781598679.46604919,0.00494868,15167,0.00003262,0.00000000,0,0.00000000,1088,1089,4,0.00116544
1781598679.56604862,0.00418751,15259,0.00000409,0.00000000,0,0.00000000,1089,1090,1,0.00077187
1781598679.66613412,0.00382805,15018,0.00001092,0.00000000,0,0.00000000,1090,1088,2,0.00058314
1781598679.76604033,0.00396731,15065,0.00001996,0.00000000,0,0.00000000,1088,1077,3,0.00080301
1781598679.86597729,0.00391407,15153,0.00001142,0.00000000,0,0.00000000,1077,1079,2,0.00110344
1781598679.96616244,0.00330588,15059,0.00003012,0.00000000,0,0.00000000,1079,1068,4,0.00119822
1781598680.06608081,0.00458805,15114,0.00000517,0.00000000,0,0.00000000,1068,1069,1,0.00044939
1781598680.16597080,0.00477704,15245,0.00000183,0.00000000,0,0.00000000,1069,1069,1,0.00125849
1781598680.26610422,0.00353279,15030,0.00003480,0.00000000,0,0.00000000,1069,1054,9,0.00059584
1781598680.36609483,0.00353367,15050,0.00000932,0.00000000,0,0.00000000,1054,1056,3,0.00123778
1781598680.46597409,0.00589313,15226,0.00000672,0.00000000,0,0.00000000,1056,1057,1,0.00093072
1781598680.56611347,0.00370148,15102,0.00001106,0.00000000,0,0.00000000,1057,1061,4,0.00138686
1781598680.66606903,0.00344347,15008,0.00000463,0.00000000,0,0.00000000,1061,1062,1,0.00044888
1781598680.76592302,0.00352028,15212,0.00000931,0.00000000,0,0.00000000,1062,1065,3,0.00043740
1781598680.86608863,0.00518384,15109,0.00000961,0.00000000,0,0.00000000,1065,1066,1,0.00074802
1781598680.96604061,0.00377620,15098,0.00000532,0.00000000,0,0.00000000,1066,1067,1,0.00066940
